RegionID,SizeRank,RegionName,RegionType,StateName,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31
102001,0,United States,country,,284933,285233,289600,295633,299000,303967,309300,314300,315300,315300,313633,309967,304967,307967,314667,326333,333333,339407,341073,340740,339667,339633,338300,333600,330300,335267,346633,362967,376300,387967,393300,393300,391300,386633,381667,375733,371900,371900,374833,383107,391107,397607,399167,397833,396333,393300,389967,384633,381000,381000,386000,392967,400600,405900,405933,403267,399933,399600,396300,391332,386665
394913,1,"New York, NY",msa,NY,549300,549300,552333,555967,559300,561300,566333,574967,584967,592967,597967,599600,596600,594967,594667,597667,598667,595633,589267,579600,574633,574333,576333,576333,576667,584550,592550,603550,610667,617667,613330,606330,599663,606333,612999,619333,619333,624667,634967,647967,662633,672333,679000,676000,679333,684667,693000,693300,689967,691300,694333,699333,706333,713000,716000,709330,709630,714963,719967,716000,714333
753899,2,"Los Angeles, CA",msa,CA,767667,771298,779965,787965,794333,802333,816000,826000,829633,831300,838294,844661,849327,849296,849629,856296,864667,874667,874667,866333,856333,850000,850000,850000,856633,871633,888263,904963,916596,924967,920633,910333,901667,897667,894333,887667,882633,885967,892967,916000,942667,975333,992300,998967,999633,999567,999233,995567,991667,992000,995633,1015967,1045967,1079000,1095333,1090650,1077650,1061650,1036667,1015000,998333
394463,3,"Chicago, IL",msa,IL,281633,284967,291633,297967,299600,301300,304633,307667,309300,306300,303267,298267,296567,299900,304933,309966,311666,313333,313000,307967,302933,299263,295930,289263,284933,287967,297667,309300,317967,323300,324967,322967,319967,314967,308600,302933,299300,302167,308833,319133,329500,336500,339867,339967,339633,336300,331333,324967,321633,323300,329967,339967,349933,356600,358267,354933,351633,346633,340000,330000,323333
394514,4,"Dallas, TX",msa,TX,314667,313633,315267,318600,321633,325633,330600,333233,334267,332633,331600,328600,328559,330293,335926,342633,350967,359667,367829,371159,373159,373330,376633,378300,381633,388000,394667,407333,419330,432663,438297,434967,428300,419000,410667,403667,398000,396667,400150,411813,426480,438330,441667,440000,435000,430000,426356,422356,417356,414333,416633,424633,432933,437967,438300,434667,430865,427532,424532,420000,415000
394692,5,"Houston, TX",msa,TX,283333,284333,287666,293166,297133,301132,303966,307299,309967,313275,314308,314308,313666,315999,317666,323000,327667,332667,334667,333333,333333,333233,333233,331233,328000,328000,333650,343650,356317,364167,367500,364500,358000,352997,349663,347122,343792,342425,344933,351567,358267,364633,367667,366000,362967,358300,354967,351667,349983,349983,352983,358000,363667,365667,366000,365333,363633,359967,354967,351663,349963
395209,6,"Washington, DC",msa,VA,430967,433000,443300,454967,461633,466667,471633,471600,467479,461049,456049,447137,438600,436967,443333,458333,468333,476633,474967,471633,470000,471667,469667,457967,449600,456267,476300,501333,521333,533083,533083,526717,523300,521633,518300,509800,503100,506433,523267,543297,559963,568297,571300,564667,562667,559633,559300,546267,536300,536600,551633,574383,590750,597417,591000,579667,573000,570000,565000,551333,543000
394974,7,"Philadelphia, PA",msa,PA,256600,256600,261600,269266,275800,284133,291467,293267,291300,289300,287667,283000,276633,273300,274967,284667,292967,299600,299600,297967,297300,294300,290933,283267,278267,277883,285917,297583,309333,316333,318000,314967,311600,308233,304900,298263,293297,291663,295000,303333,313300,321633,323300,321633,321633,323300,323000,314667,306333,305000,313333,328733,343400,356700,359633,356633,351667,349967,346633,338600,330300
394856,8,"Miami, FL",msa,FL,374967,374367,374367,374400,373333,373300,371633,373133,373166,376467,377967,377967,375333,374000,375633,381600,,,,,,426667,431667,439667,446300,452967,463300,480000,503333,526333,543000,546300,546300,545967,549000,549000,545667,542633,541300,544967,548333,550000,550000,550000,550000,550000,550000,549967,544967,537967,529667,524667,521667,520000,518333,516633,513300,511300,509633,506300,503266
394347,9,"Atlanta, GA",msa,GA,290600,291300,294333,297667,299333,303000,308333,313333,316333,314667,312333,307667,307638,309971,316638,326667,338300,346633,349933,348883,348883,348883,349933,347567,346133,346167,351833,362050,375350,387383,391933,388600,381600,376600,371633,366600,359967,358267,361600,369900,379933,389633,394667,394633,391300,387633,382667,377967,374933,374933,376633,381333,389333,395663,397663,394663,391500,389500,386167,381333,376500
394404,10,"Boston, MA",msa,MA,531333,536300,546300,556600,566300,574633,583000,583300,586633,591300,596333,596333,593333,598000,603000,614633,621633,628267,619933,609600,606267,612933,613266,613966,623966,648633,669300,682333,690967,695967,697967,689667,689667,691000,699000,699000,699333,712817,729783,749450,765967,775967,781300,768267,761600,752933,749600,745967,742933,747967,756633,773300,787967,789300,782333,765967,762633,759600,759633,753300,749667
394976,11,"Phoenix, AZ",msa,AZ,347596,350963,351629,351333,349633,352267,355933,360967,363333,365000,366333,369633,374300,379600,385967,392967,,,424333,431417,438383,445050,451567,456233,462867,468267,476633,486666,500000,510000,509975,,,,473333,466633,463300,466600,473267,482433,490767,497467,502967,504483,507817,509813,509997,506630,504276,506942,511975,516000,516666,515000,508333,503000,499633,499633,499966,499666,499633
395057,12,"San Francisco, CA",msa,CA,896981,913648,936333,954600,969933,981267,997333,998333,998167,998167,997167,981000,973333,971333,986333,994333,997667,998667,995333,987333,982667,982000,973333,945000,925333,939000,,1045667,1080667,1095000,1075000,1043000,1027667,1016000,1014667,981333,964333,964333,989667,1036333,1070667,1085167,1055167,1020833,1013000,1018833,1018833,980500,951667,951667,974667,997963,1016296,1016296,1009667,979333,978184,983184,972517,924000,890667
395025,13,"Riverside, CA",msa,CA,395930,397563,400646,401383,404750,409966,,,436300,442667,446333,449667,451667,456667,463333,474965,486298,496265,502967,506633,513333,519667,528000,531333,533333,536667,546667,561333,574667,581333,580833,575833,570833,564667,558000,553000,550000,549997,549993,551660,557663,564000,567333,564635,564968,568302,573333,573333,574667,578000,584627,590710,595377,598417,599000,597667,596300,594967,594948,593314,593314
394532,14,"Detroit, MI",msa,MI,195000,191667,194667,204167,217131,228465,235931,237933,234717,229750,224750,218267,213267,214633,221000,229333,236333,243000,245000,241667,233667,226667,218000,209333,199300,194633,198300,211633,229633,244300,251000,251000,246300,239633,229966,219666,211300,204633,206600,214933,227933,236783,241817,243817,243000,238000,231296,223296,216596,211633,213300,221633,234933,244915,250598,250632,250650,248333,244166,235833,229133
395078,15,"Seattle, WA",msa,WA,536562,540896,552633,564317,571650,580000,590000,593333,593333,588333,581633,569633,562967,568000,581333,603000,617983,633317,634650,631333,628000,626667,620000,604667,604667,629667,,713333,738333,750000,746642,736625,724958,711317,697967,679617,663283,663067,676417,704967,728533,744867,749317,742650,739317,731317,719667,698333,681667,683317,701317,722983,739667,746667,749667,745750,740733,728067,710317,682000,666650
394865,16,"Minneapolis, MN",msa,MN,318000,322967,326600,329900,329933,331267,331267,330933,327967,324333,319633,316267,314933,318300,322467,325800,326726,329259,330926,330000,326667,323333,319167,310800,307433,311600,326633,340000,351667,358817,363817,363783,359967,354933,349933,344900,341267,342933,349600,359900,371600,383267,392967,394600,389633,379967,371633,363300,356633,355000,361667,373000,383000,388000,389967,388300,384933,379967,373300,365000,359900
395056,17,"San Diego, CA",msa,CA,676117,676417,681600,683133,689500,697500,712633,712967,706633,699983,699649,704616,704633,713267,718300,734967,746520,761520,769853,776633,776633,781600,784615,787948,790981,804000,825633,852633,876300,892667,891000,874667,858333,850000,850000,850000,858333,872750,889083,907417,926000,946000,959333,959667,956633,949633,941300,934333,924500,927167,934133,954300,971633,980000,973333,965000,956633,944967,934633,927667,919333
395148,18,"Tampa, FL",msa,FL,259867,259867,260900,262633,265667,268667,270833,272833,275467,278300,279900,278567,276900,276633,281300,289633,,,,325967,331300,334933,341600,346567,350600,355633,364000,379667,394667,409633,416500,416500,412867,406300,402583,397917,394583,390967,390933,394133,399800,406500,411667,414967,415633,415633,413666,408000,403000,400000,401667,406500,411500,414833,413333,411300,406300,402633,396333,392967,389967
394530,19,"Denver, CO",msa,CO,464700,474342,479375,485392,485492,490492,490158,491300,487967,484967,478300,474933,476600,486633,500000,514967,528300,542600,552300,555800,558133,558467,563300,561667,568333,579667,599332,619298,636298,646300,642967,632967,621633,611667,604667,598000,596333,596797,608130,623097,636267,639900,639217,634250,629183,619900,611233,599667,591333,590000,593133,602767,611100,617967,616667,610000,603300,598300,589967,580000,571667
394358,20,"Baltimore, MD",msa,MD,288917,288217,294850,303233,310641,315641,320641,319933,316633,310667,305633,298933,293267,291633,300000,311667,325000,329967,331633,328300,326633,319967,311633,303000,297983,297983,306650,324667,341300,349633,349933,346600,341567,334933,329967,321667,311667,306667,313300,328300,341600,348298,349965,349998,349998,349964,344964,336633,326633,323300,326633,339967,353300,364933,366633,366600,364466,362767,357767,346600,336633
395121,21,"St. Louis, MO",msa,MO,208467,210088,215421,224738,228317,230950,232800,232767,230800,227967,224667,220000,216667,213300,209933,211567,214933,218300,215000,211633,206633,203267,196633,189933,183450,185417,193783,208633,220000,228300,229933,228267,226633,225000,221633,213300,204933,199933,203267,209967,218333,224967,226633,224967,220000,216667,213000,207667,202633,202933,208267,217300,226500,234833,239133,239717,241350,241350,238233,229600,221300
394943,22,"Orlando, FL",msa,FL,296900,295900,296233,296333,296333,296333,298000,299633,299966,299966,299966,299933,299267,298467,298467,305800,,,334733,341067,346067,352333,355633,358617,361517,368550,380233,393333,407000,417333,423333,424000,424000,422000,419633,414633,411300,410333,413633,418967,424633,429667,433000,436333,437167,435500,432467,428300,424967,423333,423333,426633,428300,430967,430997,429330,426663,424967,423267,419933,416600
394458,23,"Charlotte, NC",msa,NC,299333,299333,302333,305667,311875,317208,323708,325642,323975,321058,319583,316583,318195,321528,330325,339097,345730,349932,349966,349966,351633,356600,357300,355633,355313,357979,366313,374000,382333,387300,387967,386300,382333,378083,374583,368250,361500,358300,361933,371600,384300,394333,399333,399967,399600,396267,391300,384667,381167,381167,387033,393833,403833,411633,416667,415000,411667,406667,403300,399467,399133
395055,24,"San Antonio, TX",msa,TX,264813,266346,269767,274466,277966,282300,285800,288800,287833,284500,279833,276500,275000,278333,280667,285633,287749,293749,300965,308850,313850,313500,310167,307833,309333,314300,319967,329967,340000,351500,356500,356467,351633,344957,339990,335657,332000,330333,332233,337567,344233,351333,353000,352667,348000,344667,340000,335000,331333,329333,330000,333333,337000,339667,339917,338250,336083,332667,329333,326500,323333
394998,25,"Portland, OR",msa,OR,436000,442333,445967,449600,451600,456633,460000,461633,461633,464958,468324,471658,471666,473333,474750,484417,497750,512142,520808,524108,524967,524967,525000,521633,521617,521617,529650,538000,552667,564633,570967,564633,556300,548300,543300,538333,533333,536667,541633,554933,569900,585933,594300,594000,587967,577967,564933,553467,546800,546833,548333,558333,568300,578270,579937,578303,576667,574333,569650,561467,553767
395045,26,"Sacramento, CA",msa,CA,467667,470000,473300,478300,483267,486600,492933,495967,502333,502633,506300,503300,511667,516667,523333,531666,540000,554166,560500,563500,559333,556333,556667,560000,568333,581629,594961,607961,614665,619667,611633,603300,594967,588300,581633,575633,574000,577317,584983,598317,611633,623267,628267,629633,628000,618000,608000,598667,598333,598667,604633,614633,627633,636000,636300,631633,624967,620000,611333,604333,599333
394982,27,"Pittsburgh, PA",msa,PA,174967,177967,182967,187933,192933,196300,199667,199967,199967,199933,199433,197100,195467,195417,197750,204417,210000,215000,213300,208300,203300,199967,197783,192783,187817,186633,191300,201300,211300,217967,219600,216300,211633,204967,199967,194966,191633,189946,193246,201613,213266,221633,224967,224967,224933,223267,221633,218300,217967,217933,219600,224933,231633,238300,239633,236300,232667,228000,226333,224000,223667
394466,28,"Cincinnati, OH",msa,OH,218300,220200,225200,235200,243267,248267,249900,248267,244933,238300,232300,225667,221483,220817,224117,233300,241600,248267,248083,244783,242200,240683,239017,233300,228333,226667,233333,241667,251667,256633,261600,261267,261300,259667,259167,255833,252467,249967,258267,268300,281600,289633,294633,297000,297300,298633,295967,291000,284633,281633,283267,289933,298267,304967,305000,303000,299333,296000,291300,284633,279633
394355,29,"Austin, TX",msa,TX,352667,356300,364633,371967,378300,383400,391400,396400,401298,406632,408522,413423,411423,417900,427999,449999,467999,481333,489333,496000,499333,499667,501500,501497,501997,510463,532133,559967,582633,592300,588967,573000,555000,540000,530000,521654,511654,509954,514967,531300,542967,549633,549633,546000,539300,531267,526600,522550,514250,509250,511667,525000,534933,534933,527933,518000,509667,503300,499633,496300,492666
394775,30,"Las Vegas, NV",msa,NV,311313,314313,317646,319633,319967,321600,323967,326967,328667,329667,330000,329997,329963,331597,337933,,,,,396300,404667,413333,423300,428300,433300,440000,450000,461666,471667,477998,476298,468965,459300,450666,444333,439333,434667,433333,434000,439000,444000,448333,450000,450000,450000,449978,449944,448944,447633,447333,448333,451000,454666,459666,463333,465000,465000,463333,461633,458300,456633
394735,31,"Kansas City, MO",msa,MO,264967,271600,276600,281633,285333,290333,291325,287633,280966,275141,271800,268467,269967,271667,271667,268333,265000,265000,263333,258333,253333,250000,248333,244967,242133,245467,253833,268333,279967,288300,289966,285000,280000,273442,271442,266408,262633,261267,270633,287633,299333,308817,309967,309967,304450,298300,294133,285717,279050,279850,288300,303300,315000,323333,324967,321633,318300,310000,303333,293317,288317
394492,32,"Columbus, OH",msa,OH,239900,243233,246600,253300,259967,268183,271183,268717,262088,256721,252521,247267,241300,239633,243300,253267,259967,268300,271667,273300,268267,263233,256600,253267,248967,252267,260633,276633,289967,301350,303016,303016,299933,299900,298267,294933,291600,293233,301600,313300,323333,331633,338300,341533,339867,333200,328050,321417,319717,318267,323750,333450,343450,351300,351600,351300,346300,341333,333333,326633,321283
394705,34,"Indianapolis, IN",msa,IN,219633,221300,224667,231333,237317,243950,247583,247767,242800,236167,230000,223333,218333,216667,222667,230967,237633,243267,246600,249600,247967,246300,243267,238267,236300,239633,249600,261600,271600,279967,281600,279967,275617,271983,268650,264667,263000,263000,268667,278967,290600,298267,299967,299667,298000,294633,289967,286600,284967,287300,292300,300717,308383,312500,312383,307350,303233,299600,298633,293667,288967
394475,35,"Cleveland, OH",msa,OH,171083,174383,176600,181500,184867,191533,196600,198267,194133,187500,182167,177000,173633,173267,177567,184267,191600,196300,199300,195967,191267,186583,181617,177317,172300,171467,177133,187000,197833,204800,208300,208300,204967,199300,192633,185333,181000,182633,189933,199600,207967,214667,219667,221233,219567,216567,210000,204967,199966,199933,206600,217917,233617,240317,242300,239933,239567,236233,232900,224933,221283
395059,36,"San Jose, CA",msa,CA,1046666,1082314,1147315,1183315,1197333,1198983,1199317,1199317,1199000,1199000,1199000,1195333,1194000,1194333,1214333,1233000,1258000,1271333,1271000,1262333,1249667,1249333,1232667,1229317,1244983,1307983,1361333,1401000,1421666,1430629,1423963,1390296,1364333,1349000,1348667,1348667,1330983,1347650,1381317,1439333,1471667,1454998,1431332,1399613,1397948,1381281,1348000,1312629,1282296,1315296,1369000,1442135,1475135,1475135,1449000,1415667,1398667,1398333,1365333,1299000,1265667
394902,37,"Nashville, TN",msa,TN,323333,324000,327000,333500,339500,344833,348333,351633,351633,351633,349317,346650,344409,348093,355759,367667,377967,389600,396567,399900,399933,404933,410283,414250,416617,421300,434000,456633,478300,494933,498267,496933,493633,488333,483300,476633,468633,465000,471333,484633,504633,521300,531333,531333,528300,526600,526567,521600,516600,509933,509933,518300,530000,534967,531633,524633,521300,518107,511773,504807,496333
395194,38,"Virginia Beach, VA",msa,VA,269963,269997,272163,276483,282467,288633,292650,294833,293167,289133,283772,277088,273622,270783,274100,276600,282967,284667,286300,283300,281632,279965,279298,277633,276000,278667,287000,300300,310929,317596,319296,318333,315000,311100,309433,309400,311600,314933,321600,330967,339133,345800,348133,349933,348300,344967,341125,337792,336125,336667,340000,345000,348333,350000,350000,350000,350000,350000,350000,349967,346633
395005,39,"Providence, RI",msa,RI,337000,337300,340967,346267,351267,354900,361267,364633,364633,358267,353233,349900,349900,354583,360517,368883,374200,384633,392900,398083,395083,394150,392300,391967,391300,394633,399967,408267,417967,431300,438000,441633,439933,436567,433233,431600,431600,438267,443267,453117,461480,474780,484113,484117,480483,474633,474633,468267,461633,459933,459967,473283,483317,502983,511333,511333,505000,499966,496600,489900,481600
394714,40,"Jacksonville, FL",msa,FL,279250,282100,285433,288633,291467,294167,297000,297000,295967,291633,287300,282333,282333,283333,287878,292878,301211,308333,314667,318000,321333,323333,326667,327667,332333,337667,350000,363667,378330,389830,396163,396133,389633,382967,376333,371333,365000,361667,364333,372667,385667,394666,399656,399956,399956,399933,399633,396300,392967,391633,394633,398000,399667,399967,399633,397967,394667,391000,387667,382667,378333
394862,41,"Milwaukee, WI",msa,WI,244900,244933,254633,263000,272967,276633,282967,276333,262667,,226267,219900,221600,226533,236533,249833,263267,269933,269967,264933,258300,253267,246600,238267,228267,224633,231133,246167,263133,278267,286567,286567,283233,278233,274600,269600,263800,260800,267500,278333,291333,298000,303000,299967,294267,287567,283917,276250,267917,266567,273267,286633,304983,324983,339983,340000,334967,326633,319633,309333,301000
394935,42,"Oklahoma City, OK",msa,OK,239233,241582,244915,248248,249933,251200,251200,249867,248200,245900,245533,242616,239016,240138,241822,247588,244833,242833,239633,239467,238133,236500,235000,235650,237283,241433,245783,250817,256667,263300,266633,268300,271667,275000,278333,278333,282875,289208,295875,302333,306000,311000,312663,310997,307663,305000,303333,301667,299967,299963,299930,304597,309600,313300,310333,305333,301666,299666,298665,298082,296748
395012,43,"Raleigh, NC",msa,NC,326633,329467,331167,334500,336600,339933,344933,348300,349967,349933,348300,344933,341633,339967,343333,350000,358333,364967,366633,369967,371667,379083,380717,382050,379633,382967,389967,403633,420333,436667,444667,441333,433333,426667,421667,416667,409983,408317,414983,429667,443000,454633,457041,457040,452074,449966,448300,439967,431667,431667,440000,454667,463917,472083,469083,464833,458300,456633,451600,443300,434967
394849,44,"Memphis, TN",msa,TN,218267,218267,221300,226300,231488,234403,240037,242548,242967,239000,236966,232300,228933,224967,226383,231417,236417,240000,241633,243300,244967,246333,244833,240667,232667,229133,229967,238300,251650,263317,271650,271633,271600,269933,269933,269633,267967,264833,263500,266833,273000,277967,277967,273117,266483,264483,266300,267967,267467,269133,274133,281633,289666,296300,299467,298133,296500,293333,291667,289967,288300
395022,45,"Richmond, VA",msa,VA,277333,281649,289949,296600,302600,306092,309442,310100,309942,306592,302950,298983,297317,291898,289231,290581,296332,299648,299965,299950,299950,299933,296600,289950,288317,291650,302317,315617,328933,339933,338300,334983,331625,331292,327975,321317,318317,321100,327783,337783,348333,356667,361650,361317,364250,364250,362917,356633,351640,353273,361290,372967,386317,393467,395117,390133,388317,388300,386600,376600,369967
394807,46,"Louisville, KY",msa,KY,223275,223275,228275,237967,249300,252667,254667,250467,246133,237800,230633,224933,221250,219283,221950,225600,229233,232933,234633,236333,233333,233300,231533,229833,226533,226600,231633,239933,248300,253267,256600,256567,256600,253300,251633,249266,249233,249267,252967,258833,267167,274067,278200,279833,279900,279900,279900,279600,281300,282983,286669,291635,296619,299900,298267,294967,293317,290067,288400,283083,280333
394910,47,"New Orleans, LA",msa,LA,245000,246000,247633,252300,256967,263333,265300,266300,264633,265567,266900,268567,269300,270633,275967,284417,293083,297750,299000,298650,298983,299283,302966,305300,307000,307000,309633,314300,317633,319000,318833,315833,311167,307667,306000,304333,301633,299933,303100,309467,315983,317817,316483,313333,313333,311633,311600,306600,303300,303000,308000,316300,321633,323300,321333,318000,316333,315000,315000,314967,313300
395053,48,"Salt Lake City, UT",msa,UT,398200,399866,401510,401600,401600,405633,410667,415667,413333,414967,418300,423267,426600,431567,439933,448367,461400,,,495967,498000,499633,499633,504967,507000,513666,525300,548300,571633,586667,588333,578333,563333,550000,540000,531666,528300,531633,539933,556633,574967,590000,593317,589983,583317,578333,570000,564982,561648,559982,561666,566666,579583,586250,582667,572750,564398,557982,553315,550000,550000
394669,49,"Hartford, CT",msa,CT,262450,259433,262767,268233,274900,278233,279900,279683,279683,279383,279300,276983,271317,266650,265633,273300,281467,288133,288133,284967,281633,279933,278267,276617,274983,278317,283300,291600,299900,311567,318267,321600,319933,319600,317967,312150,305817,305783,314933,328233,333233,339900,343233,346267,345300,343300,343600,336267,329967,326633,330117,338450,353483,366667,373300,369967,368267,364967,359967,353300,349933
394425,50,"Buffalo, NY",msa,NY,168567,168600,171933,179633,186267,192931,194765,194798,191467,186633,184933,181633,181600,182967,189600,196300,202300,205633,207300,204933,201600,199900,199767,196433,192800,191133,194467,199883,208383,216750,224966,225966,224300,219333,214967,208267,203233,199933,206600,214967,226633,236633,243267,244883,238217,232917,227967,224667,221333,222967,229600,238267,244967,251300,252933,252915,249615,246282,239633,231633,228300
394388,51,"Birmingham, AL",msa,AL,247967,247967,248267,249900,251883,255217,256883,255567,252233,247583,241917,236950,238267,241633,246633,251667,258300,261600,261567,258267,258267,258300,256600,253267,248267,248300,248333,256633,264967,274633,276333,276333,275950,274250,271750,267433,264133,263300,264967,271025,275992,280342,282617,284717,285400,285367,284933,283267,279965,276664,276631,281599,289600,295967,298667,297167,295833,293133,290600,283933,278967
395031,52,"Rochester, NY",msa,NY,173800,177133,183800,194933,203267,205333,203667,197833,192467,187467,184967,186600,188300,189948,189948,189915,191567,194900,196433,193100,186433,179933,174933,169933,168233,169900,174900,181433,189767,196433,199900,199565,196231,193598,188933,187267,184933,186600,191600,196567,199900,204933,207967,211233,209567,206566,201633,194266,190900,189233,196567,206567,218233,221600,223300,223300,224967,224933,224433,216067,207733
394640,53,"Grand Rapids, MI",msa,MI,231633,234967,241300,252967,257300,256633,251633,248967,248967,245600,242267,239933,239933,243300,249933,256600,263233,266567,268233,266600,264633,262967,262933,258267,261600,264967,278267,286533,296867,306867,316933,321267,314600,306267,299900,299900,299900,304083,312417,325200,333800,341467,345350,345900,343267,335300,330333,327000,331633,336633,343300,346667,353300,356600,359100,355800,352467,346600,341600,334933,331600
395167,54,"Tucson, AZ",msa,AZ,269300,270967,272667,273000,273908,276916,281883,285308,284933,283267,282600,284300,289333,293167,297133,302133,310300,318633,323633,328300,333000,336333,337667,338000,339500,343000,349650,358150,366650,371667,375000,371667,366667,361333,357967,354600,352100,353767,360467,369967,380000,386666,388333,386666,385000,385000,386333,386333,388633,390633,393967,395000,395000,393000,387967,382967,379967,380000,379967,379633,380967
753924,55,"Urban Honolulu, HI",msa,HI,634967,630000,623333,618083,609550,605967,607883,609750,605000,597000,595000,599833,602833,596500,592667,599333,,,,,686250,684917,684333,684000,679000,675333,682333,708500,734500,759500,775000,790000,791667,786667,779333,779333,782333,778000,775481,768815,768815,771333,773333,778333,775000,769333,762333,758667,755967,746300,733300,720000,716667,711333,711333,706333,705000,696666,691666,683333,680000
395169,56,"Tulsa, OK",msa,OK,230767,227467,226600,230631,235598,241465,245767,247467,244933,241467,239467,239467,237967,234933,234967,236633,241667,242333,242300,242600,245233,248267,246300,244333,242967,248633,250633,256934,261234,269567,273300,276667,278797,282130,283797,289667,294667,306000,311333,317997,318297,319930,319900,319900,318267,311633,306482,303148,303148,301666,300000,304966,305600,308567,303600,302800,299800,299217,299050,298750,299000
394619,57,"Fresno, CA",msa,CA,315283,315283,318283,321717,325717,329083,334000,339967,341300,339633,338000,336667,341333,343667,348667,354000,363333,373333,378333,380000,381667,386083,391917,401667,400583,398048,396598,408265,419967,425000,425000,425000,423333,421633,417600,415750,415767,416467,417983,419667,422998,426665,429998,433333,435000,435000,433300,431600,429915,429948,431648,434667,438000,442667,442917,442883,441550,444633,444667,444667,444667
395238,58,"Worcester, MA",msa,MA,311200,309683,313117,324783,332967,339633,344633,346633,344633,339633,334600,333250,333250,343100,353083,364600,368083,374783,378267,381300,378267,374950,371917,366583,366567,372933,386267,396300,408300,418300,426600,426567,424933,423267,421600,423233,428267,438267,448267,456267,462933,461283,458250,449917,444933,438267,429967,423267,421633,424933,431600,443233,458267,469933,474933,473250,473283,474983,471633,463267,453267
394938,59,"Omaha, NE",msa,NE,229333,229650,236300,244633,251983,256000,257667,251417,243083,233083,225000,216667,212333,212333,219000,226667,233333,235000,235000,231899,228566,225233,223333,218333,216667,224983,239650,254650,264600,271600,274933,273333,271633,268267,264600,257967,257000,262333,277333,289500,301167,307833,311650,309983,304650,301000,296000,295667,292667,295667,296333,308000,316667,325000,325000,325000,323167,319833,311500,304667,299633
394415,60,"Bridgeport, CT",msa,CT,610167,612167,617667,634146,647479,654479,651333,639333,634333,628000,618300,606300,595967,602333,612650,629317,639317,629300,612633,582633,566000,552667,548967,548050,550550,577583,604833,629000,636000,649333,652967,645967,622967,617967,615300,623633,615300,624967,649633,682983,716317,733283,741633,719967,703150,686483,674817,658000,643000,659333,681333,731000,764633,785967,766300,731333,713333,706633,701300,682933,672933
394653,61,"Greenville, SC",msa,SC,259416,261351,263051,266505,268000,271300,273266,274900,274267,271867,270200,264200,258267,251600,249933,256633,264000,272300,273967,275267,282633,287300,289203,285203,285503,289967,294600,302858,310858,319524,322933,324933,323465,323082,323082,323903,320987,319287,319933,326064,332764,340798,345967,345933,342933,338267,336600,333267,329967,326667,328333,333500,340167,343500,346667,348300,349050,347883,342917,340500,336666
394312,62,"Albuquerque, NM",msa,NM,255100,256800,259500,262967,267300,274600,280933,283233,281600,278300,278300,277967,281300,283000,288333,293333,301333,303000,303000,300000,306500,314833,323167,323000,323000,324667,330000,335000,341667,348333,353333,356667,358000,356333,353000,350000,351929,356929,365263,373000,381000,387633,391283,389917,383283,380508,378691,380358,380184,382118,382805,384104,385687,390000,390000,388333,385000,384000,381667,379667,378967
394357,63,"Bakersfield, CA",msa,CA,259142,259933,261950,265283,268950,270783,274117,278783,286533,289867,293200,289800,286500,283733,285400,292033,298133,304633,309667,313000,315317,318650,323317,328000,332967,339633,346300,356000,366333,376300,379966,379933,378300,375293,370293,366927,363267,363300,364667,369667,373000,375000,376333,374642,372642,367942,367967,366633,366667,365000,366667,371667,380000,386333,386333,384667,383330,383330,381660,378330,376663
394308,64,"Albany, NY",msa,NY,219933,217967,217967,219633,221600,224933,231350,236050,236083,232667,229333,227633,227967,233300,241667,251633,261633,269967,275000,273300,269967,266600,263967,262717,259750,259917,262833,270759,282009,291976,298683,299600,299300,296000,290789,282756,277722,276567,284600,296283,306283,313283,318267,318300,318300,310000,306633,299633,299600,299300,299633,306000,317966,330717,337383,335717,334633,331300,329667,323000,319967
394753,65,"Knoxville, TN",msa,TN,242350,240683,244017,247350,252383,257417,263300,268717,267883,264233,257117,250850,244500,241167,243233,251567,263233,273233,277933,281300,284333,287967,289633,290133,292000,298650,310150,326800,340150,348450,353267,354600,355433,357133,360800,366333,366333,369667,375000,386633,394967,399967,400000,405000,413300,421633,423300,421633,416633,411633,405000,410150,418483,428483,429983,431650,429983,428300,424967,422967,419667
394367,66,"Baton Rouge, LA",msa,LA,230180,230967,233200,236200,237683,239000,242633,246500,251997,254697,254713,252333,250000,252100,254527,259527,262593,266500,266500,266300,264967,263267,262300,260633,259000,256667,258333,262833,267500,270833,272667,273000,272967,273300,274967,275000,275000,275000,275633,277300,282267,286600,288267,285950,282633,280633,277983,275500,272500,272466,274633,280933,285933,289567,287933,284633,283000,283333,283333,280000,276667
